source,target,reason
106568336162842708,466282,same_domain
466282,109512352294413409,same_domain
109310582157669913,112413268297098956,same_domain
112410769390923651,110209382556951765,same_domain
109512352294413409,108290573442688697,same_domain
108290573442688697,109241814031202593,same_domain
109241814031202593,17373,same_domain
17373,115249419711571690,same_domain
115249419711571690,115089538973889362,same_domain
115089538973889362,114109878487078563,same_domain
114109878487078563,114262412004999232,same_domain
114262412004999232,114146540975738872,same_domain
114146540975738872,114089012055430609,same_domain
114089012055430609,1201113,same_domain
1201113,113564163294563553,same_domain
113937688324813242,111720197563788258,same_domain
113564163294563553,113540648331156718,same_domain
113540648331156718,111461683767803566,same_domain
111461683767803566,109839362806379658,same_domain
111075665817440599,110129807492588175,same_domain
110202076640151146,113080048114789891,same_domain
109839362806379658,112396258678761329,same_domain
112396258678761329,107537743192275948,same_domain
107537743192275948,111794970557834988,same_domain
112413268297098956,109529448224778188,same_domain
111794970557834988,110674062271339016,same_domain
111720197563788258,109286951501582812,same_domain
110674062271339016,111609078134887957,same_domain
111609078134887957,110409650171151990,same_domain
110409650171151990,108131746904364667,same_domain
108131746904364667,111345077324768720,same_domain
111345077324768720,110354214649252667,same_domain
109326415611965441,113568469131190775,same_domain
110129807492588175,109365658252980987,same_domain
110354214649252667,110769831355713342,same_domain
110769831355713342,110766961983485266,same_domain
110766961983485266,110667341114696688,same_domain
110667341114696688,110652824289488454,same_domain
110652824289488454,109302779234360491,same_domain
109302779234360491,109824254131337909,same_domain
109824254131337909,110537182327606711,same_domain
110537182327606711,110235069989497378,same_domain
109286951501582812,109372878188920164,same_domain
110235069989497378,13179,same_domain
13179,870841,same_domain
870841,115184500281635609,same_domain
115184500281635609,115120625779867465,same_domain
115120625779867465,115091361782854204,same_domain
115091361782854204,114580550524447611,same_domain
114580550524447611,115003439810752909,same_domain
115003439810752909,114871491455669099,same_domain
114871491455669099,113402170275931730,same_domain
113402170275931730,1292897,same_domain
1292897,10943,same_domain
10943,114365853169933224,same_domain
114365853169933224,112461634985138485,same_domain
112461634985138485,113889939967765256,same_domain
113889939967765256,113442126244659965,same_domain
113442126244659965,113856844671777627,same_domain
113856844671777627,113435271589968932,same_domain
113435271589968932,113763816994203004,same_domain
113763816994203004,113692608122874001,same_domain
113692608122874001,113743126042402337,same_domain
113743126042402337,113726377529232531,same_domain
113726377529232531,113701711776850637,same_domain
