id,author,favourites,language,reblogs,replies,tags,url
115285528107749516,mementomaori@indg.club,0,en,0,0,,https://indg.club/@mementomaori/115285527953887851
115285270150890049,metagrrrl,0,en,0,1,,https://mastodon.social/@metagrrrl/115285270150890049
115285287418723494,metagrrrl,1,en,0,0,,https://mastodon.social/@metagrrrl/115285287418723494
115285146712798548,stacescases2.bsky.social@bsky.brid.gy,0,en,0,0,"privateinsuranceindustry,ai,medicare",https://fed.brid.gy/r/https://bsky.app/profile/did:plc:76e4qryfph6q4wmz3li6v2l6/post/3lzwwiveahn2b
115284729175585756,iheartnoise.bsky.social@bsky.brid.gy,0,en,0,0,"ai,google",https://fed.brid.gy/r/https://bsky.app/profile/did:plc:ykwur7rcw2nofxhwacigulyq/post/3lzwqk2bzqc2m
115284753447422016,7sleepersmusic,0,en,0,0,,https://mastodon.social/@7sleepersmusic/115284753447422016
115284665677296032,hamilcar117,0,fr,0,0,,https://mastodon.social/@hamilcar117/115284665677296032
115284303938206604,SpaceLifeForm@infosec.exchange,0,en,0,0,"ai,insanity,money",https://infosec.exchange/@SpaceLifeForm/115284303916452194
115284153736339788,iamada@tech.lgbt,2,en,0,1,,https://tech.lgbt/@iamada/115284152799492555
115284178880893172,distorted@transfem.social,0,,0,0,,https://transfem.social/notes/ad7t88d0czz80h4h
115284140043534778,holypangolin,0,en,0,0,,https://mastodon.social/@holypangolin/115284140043534778
115283923054210353,Natanox@chaos.social,1,en,1,2,,https://chaos.social/@Natanox/115283923005211697
115283950509353872,momo@social.linux.pizza,0,en,0,0,,https://social.linux.pizza/@momo/115283950420534095
115284026253442983,stormkeepergu,0,en,0,0,,https://mastodon.social/@stormkeepergu/115284026253442983
115284646398779221,constancies@metalhead.club,0,en,0,0,,https://metalhead.club/@constancies/115284646365859941
115283783608488364,zombiewarrior@techhub.social,0,en,0,1,,https://techhub.social/@zombiewarrior/115283783571816188
115284123707312886,DrMikeWatts,0,en,0,0,,https://mastodon.social/@DrMikeWatts/115284123707312886
115283530873979389,ollibaba@chaos.social,1,en,0,0,ai,https://chaos.social/@ollibaba/115283530833989758
115281611161429426,ollibaba@chaos.social,1,en,0,1,"fortune,ai",https://chaos.social/@ollibaba/115281611095404413
115283438765862999,juliewebgirl@mstdn.social,0,en,0,0,ai,https://mstdn.social/@juliewebgirl/115283438708569622
115281072565450936,PatrickoftheG,1,en,0,2,,https://mastodon.social/@PatrickoftheG/115281072565450936
